AÑO,MES,LINEA,sueldo_tarifa_subte_priv,cantidad,periodo,periodo_date,AÑO_NUM
2022,04,LINEA_A,4280.210666666667,3279710,Apr 2022,2022-04-01,2022
2022,04,LINEA_B,4280.210666666667,3740853,Apr 2022,2022-04-01,2022
2022,04,LINEA SUBTE C,4280.210666666667,2425818,Apr 2022,2022-04-01,2022
2022,04,LINEA SUBTE D,4280.210666666667,3627001,Apr 2022,2022-04-01,2022
2022,04,LINEA SUBTE E,4280.210666666667,1498762,Apr 2022,2022-04-01,2022
2022,04,LINEA SUBTE H,4280.210666666667,1720753,Apr 2022,2022-04-01,2022
2022,05,LINEA_A,4453.192333333333,3487189,May 2022,2022-05-01,2022
2022,05,LINEA_B,4453.192333333333,3787451,May 2022,2022-05-01,2022
2022,05,LINEA SUBTE C,4453.192333333333,2523409,May 2022,2022-05-01,2022
2022,05,LINEA SUBTE D,4453.192333333333,3797323,May 2022,2022-05-01,2022
2022,05,LINEA SUBTE E,4453.192333333333,1561794,May 2022,2022-05-01,2022
2022,05,LINEA SUBTE H,4453.192333333333,1783133,May 2022,2022-05-01,2022
2022,06,LINEA_A,4709.6466666666665,3681974,Jun 2022,2022-06-01,2022
2022,06,LINEA_B,4709.6466666666665,4071534,Jun 2022,2022-06-01,2022
2022,06,LINEA SUBTE C,4709.6466666666665,2671689,Jun 2022,2022-06-01,2022
2022,06,LINEA SUBTE D,4709.6466666666665,3917237,Jun 2022,2022-06-01,2022
2022,06,LINEA SUBTE E,4709.6466666666665,1597399,Jun 2022,2022-06-01,2022
2022,06,LINEA SUBTE H,4709.6466666666665,1824686,Jun 2022,2022-06-01,2022
2022,07,LINEA_A,4960.395,3523444,Jul 2022,2022-07-01,2022
2022,07,LINEA_B,4960.395,4167169,Jul 2022,2022-07-01,2022
2022,07,LINEA SUBTE C,4960.395,2545881,Jul 2022,2022-07-01,2022
2022,07,LINEA SUBTE D,4960.395,3959957,Jul 2022,2022-07-01,2022
2022,07,LINEA SUBTE E,4960.395,1401834,Jul 2022,2022-07-01,2022
2022,07,LINEA SUBTE H,4960.395,1734125,Jul 2022,2022-07-01,2022
2022,08,LINEA_A,5187.042666666666,3922608,Aug 2022,2022-08-01,2022
2022,08,LINEA_B,5187.042666666666,4542369,Aug 2022,2022-08-01,2022
2022,08,LINEA SUBTE C,5187.042666666666,2788864,Aug 2022,2022-08-01,2022
2022,08,LINEA SUBTE D,5187.042666666666,4433855,Aug 2022,2022-08-01,2022
2022,08,LINEA SUBTE E,5187.042666666666,1786101,Aug 2022,2022-08-01,2022
