indice_tiempo,ripte
1994-07-01,874.87
1994-08-01,893.0
1994-09-01,907.99
1994-10-01,910.75
1994-11-01,916.93
1994-12-01,936.83
1995-01-01,934.85
1995-02-01,928.29
1995-03-01,931.37
1995-04-01,909.07
1995-05-01,920.51
1995-06-01,944.4
1995-07-01,914.41
1995-08-01,912.86
1995-09-01,914.69
1995-10-01,916.48
1995-11-01,921.41
1995-12-01,938.88
1996-01-01,938.19
1996-02-01,933.47
1996-03-01,932.13
1996-04-01,924.13
1996-05-01,929.27
1996-06-01,940.95
1996-07-01,930.16
1996-08-01,936.68
1996-09-01,939.25
1996-10-01,940.12
1996-11-01,921.9
1996-12-01,940.06
1997-01-01,923.49
1997-02-01,923.58
1997-03-01,919.47
1997-04-01,912.02
1997-05-01,914.59
1997-06-01,928.71
1997-07-01,905.95
1997-08-01,898.67
1997-09-01,910.27
1997-10-01,913.02
1997-11-01,899.56
1997-12-01,915.57
1998-01-01,912.48
1998-02-01,908.13
1998-03-01,910.79
1998-04-01,899.86
1998-05-01,896.37
1998-06-01,920.38
1998-07-01,898.35
1998-08-01,888.71
1998-09-01,894.03
1998-10-01,892.2
1998-11-01,891.18
1998-12-01,905.15
1999-01-01,890.77
1999-02-01,897.38
1999-03-01,896.72
1999-04-01,884.93
1999-05-01,883.81
1999-06-01,898.59
1999-07-01,888.23
1999-08-01,883.4
1999-09-01,886.14
1999-10-01,888.3
1999-11-01,887.21
1999-12-01,892.14
2000-01-01,888.29
2000-02-01,893.47
2000-03-01,889.13
2000-04-01,871.69
2000-05-01,878.6
2000-06-01,903.02
2000-07-01,882.35
2000-08-01,881.81
2000-09-01,883.15
2000-10-01,879.95
2000-11-01,877.91
2000-12-01,884.83
2001-01-01,887.75
2001-02-01,892.27
2001-03-01,892.12
2001-04-01,884.92
2001-05-01,882.57
2001-06-01,889.09
2001-07-01,881.29
2001-08-01,879.63
2001-09-01,876.4
2001-10-01,880.26
2001-11-01,875.83
2001-12-01,870.52
2002-01-01,875.77
2002-02-01,887.02
2002-03-01,882.39
2002-04-01,882.13
2002-05-01,882.12
2002-06-01,874.52
2002-07-01,906.76
2002-08-01,885.3
2002-09-01,891.87
2002-10-01,900.78
2002-11-01,894.65
2002-12-01,900.69
2003-01-01,882.03
2003-02-01,890.6
